Time sync: 962 ms
--------------------------------------------------
P: seq 20999, size 1008, send_delta 6, trans_delta 3, recv_delta 9
P: seq 21000, size 871, send_delta 6, trans_delta 3, recv_delta 9
P: seq 21001, size 872, send_delta 6, trans_delta 4, recv_delta 10
P: seq 21002, size 872, send_delta 7, trans_delta 3, recv_delta 10
RTP TS: 406528981, Frame Size: 26375, Encode 4, Net 13, Wait 12, Decode 5 E2E 34 
P: seq 21003, size 1012, send_delta 0, trans_delta 0, recv_delta 0
P: seq 21004, size 1012, send_delta 1, trans_delta 2, recv_delta 3
P: seq 21005, size 1013, send_delta 1, trans_delta 3, recv_delta 4
P: seq 21006, size 1114, send_delta 1, trans_delta 3, recv_delta 4
P: seq 21007, size 1115, send_delta 1, trans_delta 3, recv_delta 4
P: seq 21008, size 987, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21009, size 987, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21010, size 988, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21011, size 1124, send_delta 3, trans_delta 3, recv_delta 6
P: seq 21012, size 1125, send_delta 3, trans_delta 3, recv_delta 6
P: seq 21013, size 1125, send_delta 3, trans_delta 4, recv_delta 7
P: seq 21014, size 1190, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21015, size 1191, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21016, size 1191, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21017, size 1032, send_delta 4, trans_delta 5, recv_delta 9
P: seq 21018, size 1033, send_delta 4, trans_delta 5, recv_delta 9
P: seq 21019, size 1033, send_delta 5, trans_delta 4, recv_delta 9
P: seq 21020, size 1033, send_delta 5, trans_delta 5, recv_delta 10
P: seq 21021, size 1053, send_delta 5, trans_delta 6, recv_delta 11
P: seq 21022, size 1053, send_delta 5, trans_delta 6, recv_delta 11
P: seq 21023, size 1054, send_delta 5, trans_delta 7, recv_delta 12
P: seq 21024, size 1054, send_delta 7, trans_delta 5, recv_delta 12
P: seq 21025, size 1157, send_delta 7, trans_delta 5, recv_delta 12
P: seq 21026, size 1158, send_delta 7, trans_delta 6, recv_delta 13
P: seq 21027, size 1158, send_delta 7, trans_delta 6, recv_delta 13
